"param","r","p","n"
"alpha1",0.788063253591224,2.27464867397557e-22,100
"alpha2",0.948763487310108,7.85555521097314e-51,100
"lambda",0.80960007418609,2.08888197652183e-24,100
"w",0.817662955735371,3.08704145651536e-25,100
"beta1",0.787850515055563,2.37599817271741e-22,100
"beta2",0.86968353726421,8.24274134984533e-32,100
"p",0.971013935892648,1.01111171239639e-62,100
