"parameter","n","mean_est","sd_est","t_stat","df","p_value","ci_low","ci_high"
"alpha1",12,0.360783575473792,0.33969323514197,3.67917531825914,11,0.00363104120450933,0.144952790873305,0.576614360074279
"alpha2",12,0.611183132301278,0.374671630460376,5.65081608433579,11,0.000148634907214585,0.373128135604008,0.849238128998548
"beta1",12,9.70446188176632,6.92111030629284,4.85720362643315,11,0.000504917398270139,5.30699819047616,14.1019255730565
"beta2",12,4.53092591024514,5.83841246611976,2.68833143510004,11,0.021091925682788,0.821375607139324,8.24047621335096
"lambda",12,0.746116440181774,0.345178992327074,7.48777655352055,11,1.21842443923372e-05,0.526800171753815,0.965432708609732
"p",12,0.824121460927833,0.872166586476615,3.27327431265488,11,0.0074218918831466,0.269973249577955,1.37826967227771
"w",12,0.630882240157902,0.326335269148216,6.69691692472298,11,3.39013367428241e-05,0.42353870223424,0.838225778081564
